,latitude,longitude,azimuth,elevation
0,55.19710712,82.98365307,8.89,3.14
1,55.08394070,82.92012877,8.86,3.27
2,54.97074545,82.85691384,8.84,3.40
3,54.85752618,82.79400787,8.82,3.54
4,54.80090675,82.76266935,8.81,3.60
5,54.68764846,82.70021939,8.79,3.74
6,54.57436216,82.63806858,8.77,3.87
7,54.46105265,82.57621657,8.74,4.01
8,54.34771786,82.51465929,8.72,4.15
9,54.29104106,82.48399030,8.71,4.21
10,54.17766651,82.42286868,8.68,4.35
11,54.06426951,82.36203612,8.66,4.49
12,53.95084801,82.30148870,8.64,4.63
13,53.83739993,82.24122253,8.61,4.77
14,53.72393006,82.18123741,8.59,4.91
15,53.66718615,82.15134897,8.58,4.98
16,53.55368054,82.09177872,8.55,5.12
17,53.44014907,82.03248066,8.53,5.26
18,53.32659652,81.97345463,8.50,5.41
19,53.26981154,81.94404241,8.49,5.48
20,53.15622432,81.88541797,8.46,5.62
21,53.04261193,81.82705702,8.43,5.77
22,52.92897914,81.76895947,8.41,5.91
23,52.81532386,81.71112175,8.38,6.06
24,52.70164628,81.65354148,8.35,6.21
25,52.58794658,81.59621633,8.32,6.35
26,52.53108621,81.56764755,8.31,6.43
27,52.41735368,81.51070073,8.28,6.58
28,52.30359949,81.45400328,8.25,6.73
29,52.18982382,81.39755296,8.22,6.88
30,52.13292569,81.36941864,8.21,6.95
31,52.01911813,81.31333483,8.18,7.11
32,51.90528952,81.25749263,8.15,7.26
33,51.79144003,81.20188987,8.12,7.41
34,51.67756755,81.14652331,8.09,7.57
35,51.62062474,81.11892891,8.07,7.65
36,51.50672381,81.06391546,8.04,7.80
37,51.39280259,81.00913408,8.01,7.96
38,51.27886124,80.95458271,7.98,8.12
39,51.16489763,80.90025822,7.95,8.28
40,51.10790953,80.87318139,7.93,8.36
41,50.99391856,80.81919620,7.90,8.52
42,50.87990802,80.76543402,7.86,8.68
43,50.76587577,80.71189180,7.83,8.84
44,50.65182655,80.65856977,7.79,9.01
45,50.59479476,80.63199033,7.78,9.09
46,50.48071693,80.57899339,7.74,9.25
47,50.36661791,80.52620976,7.70,9.42
48,50.25250244,80.47363971,7.67,9.59
49,50.13836837,80.42128034,7.63,9.76
50,50.08129441,80.39517909,7.61,9.84
51,49.96713042,80.34313128,7.58,10.01
52,49.85295048,80.29129068,7.54,10.18
53,49.73875244,80.23965447,7.50,10.36
54,49.68164668,80.21391247,7.48,10.44
55,49.56741945,80.16257855,7.44,10.62
56,49.45317676,80.11144572,7.40,10.79
57,49.33891644,80.06051124,7.36,10.97
58,49.22463634,80.00977240,7.32,11.15
59,49.16749321,79.98447774,7.30,11.24
60,49.05318712,79.93403078,7.26,11.42
61,48.93886616,79.88377736,7.21,11.60
62,48.82452586,79.83371384,7.17,11.78
63,48.71017095,79.78384062,7.13,11.97
64,48.59579926,79.73415511,7.08,12.15
65,48.48141090,79.68465573,7.04,12.34
66,48.42421052,79.65997535,7.01,12.43
67,48.30979510,79.61075126,6.97,12.62
68,48.19536563,79.56171044,6.92,12.81
69,48.08091993,79.51285037,6.88,13.00
70,48.02369102,79.48848765,6.85,13.10
71,47.90921888,79.43989493,6.80,13.29
72,47.79473311,79.39148022,6.75,13.49
73,47.68023150,79.34324108,6.70,13.68
74,47.56571418,79.29517605,6.65,13.88
75,47.50844736,79.27120743,6.63,13.98
76,47.39390668,79.22340091,6.58,14.18
77,47.27935058,79.17576497,6.52,14.39
78,47.16477915,79.12829819,6.47,14.59
79,47.05019250,79.08099921,6.42,14.80
80,46.99289120,79.05741126,6.39,14.90
81,46.87828194,79.01036141,6.33,15.11
82,46.70633776,78.94009352,6.25,15.42
83,46.59169133,78.89345216,6.19,15.64
84,46.47703022,78.84697190,6.13,15.85
85,46.36235453,78.80065143,6.08,16.07
86,46.24766436,78.75448945,6.01,16.29
87,46.19031156,78.73146658,5.98,16.40
88,46.07559986,78.68553998,5.92,16.62
89,45.96087393,78.63976871,5.86,16.84
90,45.90350566,78.61694094,5.83,16.95
91,45.78875626,78.57139945,5.76,17.18
92,45.67399518,78.52601112,5.70,17.41
93,45.55922021,78.48077384,5.63,17.64
94,45.44443144,78.43568640,5.57,17.87
95,45.38702961,78.41319760,5.53,17.99
96,45.27222033,78.36833270,5.46,18.22
97,45.15739749,78.32361469,5.39,18.46
98,45.04256117,78.27904241,5.32,18.70
99,44.92771148,78.23461471,5.25,18.94
100,44.81284619,78.19032957,5.17,19.19
101,44.75540975,78.16824089,5.14,19.31
102,44.64052700,78.12416970,5.06,19.56
103,44.52563118,78.08023915,4.98,19.81
104,44.41072008,78.03644728,4.91,20.06
105,44.35326084,78.01460377,4.87,20.19
106,44.23833274,77.97102006,4.78,20.45
107,44.12339187,77.92757319,4.70,20.71
108,44.00843601,77.88426123,4.62,20.97
109,43.89346986,77.84108488,4.53,21.23
110,43.77849120,77.79804220,4.45,21.50
111,43.72099720,77.77657067,4.40,21.64
112,43.60599761,77.73372573,4.31,21.91
113,43.49098802,77.69101276,4.22,22.18
114,43.37596620,77.64842991,4.13,22.46
115,43.26092991,77.60597530,4.04,22.74
116,43.14588387,77.56364967,3.94,23.02
117,43.03082583,77.52145118,3.84,23.31
118,42.91575587,77.47937885,3.74,23.60
119,42.80067408,77.43743171,3.64,23.89
120,42.74312645,77.41650396,3.59,24.04
121,42.62802704,77.37474284,3.49,24.33
122,42.51291598,77.33310455,3.38,24.63
123,42.39779334,77.29158816,3.27,24.94
124,42.28265688,77.25019191,3.16,25.24
125,42.16751131,77.20891655,3.05,25.55
126,42.10993426,77.18832361,2.99,25.71
127,41.99477169,77.14722663,2.87,26.03
128,41.82200443,77.08580095,2.69,26.51
129,41.70681387,77.04499683,2.57,26.83
130,41.59161223,77.00430831,2.44,27.16
131,41.53400496,76.98400631,2.38,27.33
132,41.41878684,76.94348957,2.25,27.66
133,41.30355782,76.90308627,2.12,28.00
134,41.18831797,76.86279558,1.98,28.34
135,41.07306736,76.82261664,1.84,28.69
136,41.01543572,76.80256802,1.77,28.86
137,40.90016908,76.76255517,1.63,29.21
138,40.78489185,76.72265201,1.48,29.57
139,40.66960409,76.68285772,1.33,29.93
140,40.55430354,76.64317071,1.18,30.29
141,40.49665052,76.62336788,1.10,30.48
142,40.38133671,76.58384227,0.94,30.85
143,40.26601259,76.54442275,0.78,31.23
144,40.15067591,76.50510773,0.61,31.61
145,40.03533137,76.46589803,0.44,31.99
