,latitude,longitude,azimuth,elevation
0,52.88075736,78.56269260,6.14,7.82
1,52.82392133,78.53379351,6.12,7.90
2,52.71023258,78.47618832,6.07,8.06
3,52.59652170,78.41883848,6.02,8.21
4,52.53965803,78.39025859,5.99,8.29
5,52.42591204,78.33328630,5.94,8.45
6,52.31214667,78.27656476,5.89,8.61
7,52.25525592,78.24829689,5.87,8.69
8,52.14145839,78.19194554,5.82,8.86
9,52.02763965,78.13583821,5.76,9.02
10,51.97072009,78.10787424,5.74,9.10
11,51.85686984,78.05212885,5.69,9.26
12,51.79993692,78.02434576,5.66,9.35
13,51.68605326,77.96895634,5.60,9.51
14,51.57215136,77.91380344,5.55,9.68
15,51.51519277,77.88631462,5.52,9.76
16,51.40126037,77.83151092,5.47,9.93
17,51.34428662,77.80419553,5.44,10.02
18,51.23032411,77.74973640,5.38,10.19
19,51.11633941,77.69550336,5.32,10.36
20,51.05934081,77.66847195,5.29,10.44
21,50.94532888,77.61457702,5.23,10.62
22,50.83129745,77.56090431,5.18,10.79
23,50.77427219,77.53414960,5.15,10.88
24,50.66021182,77.48080659,5.08,11.06
25,50.60317446,77.45421672,5.05,11.14
26,50.48908548,77.40119908,4.99,11.32
27,50.43203390,77.37477084,4.96,11.41
28,50.31791436,77.32207329,4.90,11.59
29,50.20377844,77.26958859,4.83,11.77
30,50.14670353,77.24342508,4.80,11.86
31,50.03253988,77.19125461,4.73,12.05
32,49.91835793,77.13929139,4.67,12.23
33,49.86125784,77.11338589,4.64,12.32
34,49.74704869,77.06173020,4.57,12.51
35,49.63282159,77.01027733,4.50,12.70
36,49.57569905,76.98462537,4.46,12.79
37,49.46144526,76.93347349,4.39,12.98
38,49.40431175,76.90797210,4.36,13.08
39,49.29003159,76.85711737,4.29,13.27
40,49.17573401,76.80645863,4.21,13.46
41,49.11857873,76.78120224,4.18,13.56
42,49.00425297,76.73083338,4.10,13.76
43,48.88991241,76.68065741,4.03,13.95
44,48.83273576,76.65564088,3.99,14.05
45,48.71836980,76.60574970,3.91,14.25
46,48.60398477,76.55604538,3.84,14.45
47,48.54678715,76.53126369,3.80,14.55
48,48.43237948,76.48183923,3.72,14.76
49,48.31795535,76.43259873,3.64,14.96
50,48.26073484,76.40804599,3.60,15.06
51,48.14628623,76.35907856,3.51,15.27
52,48.08905585,76.33466250,3.47,15.38
53,47.97458304,76.28596474,3.39,15.59
54,47.86009192,76.23744392,3.30,15.80
55,47.80284386,76.21325124,3.26,15.90
56,47.68832898,76.16499455,3.17,16.12
57,47.57380069,76.11691310,3.08,16.34
58,47.51653070,76.09293728,3.04,16.44
59,47.40197907,76.04511454,2.95,16.66
60,47.28740972,75.99746157,2.85,16.88
61,47.23012045,75.97369914,2.81,17.00
62,47.11553047,75.92630057,2.71,17.22
63,47.00092535,75.87906925,2.62,17.44
64,46.94361483,75.85551493,2.57,17.56
65,46.82898719,75.80853192,2.47,17.79
66,46.71434466,75.76171278,2.37,18.02
67,46.65701785,75.73836424,2.32,18.13
68,46.54235089,75.69178747,2.22,18.37
69,46.48501307,75.66855985,2.16,18.49
70,46.37032652,75.62222439,2.06,18.72
71,46.25562551,75.57604756,1.95,18.96
72,46.19826961,75.55301823,1.90,19.08
73,46.08354708,75.50707695,1.79,19.32
74,45.96880802,75.46129022,1.68,19.57
75,45.91143435,75.43845523,1.62,19.69
76,45.79667646,75.39290029,1.51,19.94
77,45.68190459,75.34749772,1.39,20.19
78,45.62451114,75.32485229,1.33,20.32
79,45.50971849,75.27967603,1.21,20.57
80,45.45231702,75.25714398,1.15,20.70
81,45.33750380,75.21219132,1.03,20.96
82,45.22267468,75.16738535,0.91,21.22
83,45.16525621,75.14503779,0.85,21.35
84,45.05040918,75.10045193,0.72,21.61
85,44.93554879,75.05601076,0.59,21.88
86,44.87811360,75.03384408,0.52,22.01
87,44.76323102,74.98961694,0.39,22.28
88,44.64833760,74.94553256,0.25,22.56
89,44.59088599,74.92354322,0.18,22.69
90,44.47597303,74.87966956,0.05,22.97
91,44.36104483,74.83593413,359.90,23.25
92,44.30357707,74.81411868,359.83,23.39
93,44.18863196,74.77059077,359.69,23.68
94,44.07367414,74.72719928,359.54,23.96
95,44.01618817,74.70555348,359.46,24.11
96,43.90121145,74.66236463,359.31,24.40
97,43.78622222,74.61930957,359.15,24.69
98,43.72872294,74.59783188,359.07,24.84
99,43.61371281,74.55497470,358.91,25.14
100,43.49869269,74.51224960,358.75,25.44
101,43.44117804,74.49093594,358.67,25.60
102,43.32613963,74.44840577,358.50,25.90
103,43.21108912,74.40600431,358.33,26.21
104,43.15355935,74.38485154,358.24,26.37
105,43.03848853,74.34264045,358.06,26.69
106,42.92340812,74.30055647,357.88,27.00
107,42.86586348,74.27956153,357.79,27.17
108,42.75076536,74.23766513,357.60,27.49
109,42.63565322,74.19589175,357.41,27.82
110,42.57809394,74.17505164,357.31,27.98
111,42.46296669,74.13346314,357.12,28.31
112,42.34782792,74.09199617,356.92,28.65
113,42.29025192,74.07130714,356.81,28.82
114,42.17509600,74.03002073,356.61,29.16
115,42.05992874,73.98885356,356.39,29.51
116,42.00234088,73.96831441,356.29,29.68
117,41.88715442,73.92732358,356.07,30.03
118,41.77195912,73.88645059,355.84,30.39
119,41.71435731,73.86605770,355.73,30.56
120,41.59914540,73.82535856,355.50,30.93
121,41.48392019,73.78477343,355.26,31.29
122,41.42630697,73.76452488,355.14,31.47
123,41.31106540,73.72411037,354.90,31.84
124,41.19581535,73.68380936,354.64,32.22
125,41.13818628,73.66370085,354.52,32.41
126,41.02292013,73.62356728,354.26,32.79
127,40.90764101,73.58354351,353.99,33.17
128,40.84999864,73.56357324,353.85,33.37
129,40.73470600,73.52371463,353.58,33.76
130,40.61940287,73.48396456,353.30,34.15
131,40.56174508,73.46412919,353.15,34.35
132,40.44642635,73.42454045,352.86,34.75
133,40.33109730,73.38505826,352.56,35.16
134,40.27342892,73.36535688,352.40,35.36
135,40.15808219,73.32603226,352.09,35.78
136,40.04272762,73.28681302,351.77,36.19
137,39.98504655,73.26724239,351.61,36.40
138,39.86967685,73.22817862,351.27,36.83
139,39.75429482,73.18921675,350.93,37.25
140,39.69660356,73.16977526,350.75,37.47
141,39.58120663,73.13096601,350.40,37.90
142,39.52350563,73.11159962,350.22,38.12
